,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
PC 1,-0.40501148450395197,-0.13519074089160554,-0.0932914659675628,0.8972721671047957,0.014063549880611285,-0.012614887841380233,-0.03852392303962857,-0.008121535184207088,-0.017195806849787897,-0.004005849080190943,-0.012928027425996634,-0.0072433168991000016,-0.0009823818036389994,-0.007884426258731965,-0.007916363351908732,-0.007787087430166508,-0.007863027164455196,-0.007884885035007326,-0.00788482633492987,-0.007923242334947062,-0.00795256155667156,-0.007884728909557147,-0.007884933201324298,-0.007842826081084652,-0.007789140878497808,-0.007886924819668193,-0.00796894352930503,-0.00792689590616276,0.004849208245797829,-0.00788295176540702,-0.007870826058363305,-0.007884718293765925,-0.007884810927788926,-0.007884810927788926,-0.00794974201785224,-0.007884810927788926,-0.007552022032980703
PC 2,-0.3524253596151318,0.547059968170378,0.7397834745757377,-0.0067482214382976104,-0.0212325402745915,-0.05321895839332276,0.005734088380153815,-0.030000031470418912,-0.0007024736732939838,-0.018897893003443272,-0.013835522597462608,-0.030348455429315985,-0.03145827478597169,-0.030988733785885535,-0.030884387951004,-0.031031012046751703,-0.03099509295624372,-0.03098738850937915,-0.030988278924887487,-0.03090210932845103,-0.030770046200518167,-0.03097312704169692,-0.030988128036542373,-0.030935067784781646,-0.031015693736826968,-0.030976923356931068,-0.030777464893827874,-0.03098215507428632,-0.03149694407282227,-0.030995183470651923,-0.030976718738840805,-0.03098158880497874,-0.030984810862978978,-0.030984810862978978,-0.03083327276308806,-0.030984810862978978,-0.021276050377685627
PC 3,0.19701469083888842,-0.73984868256926,0.6390593671869913,0.04252454224205678,-0.026591457822892548,0.02233056304292255,-0.02353219326042269,-0.002045989740390111,-0.03177098938759411,0.00594588006609825,-0.011986382315134068,-0.002840176088533909,-0.004325991733501443,-0.0024443605274979308,-0.0025330630343643576,-0.0025648926147691952,-0.0024701035329493517,-0.0024549644635315244,-0.0024459798891923643,-0.002582561787105399,-0.0027964310217868057,-0.002481661103758925,-0.0024487504348208997,-0.002591119354996434,-0.002607344864526946,-0.0024542653108784334,-0.0026807219960226,-0.00271761060400011,-0.01904388148994819,-0.0024513112040875544,-0.0024835878601782544,-0.002561013097379939,-0.0025020971896863656,-0.0025020971896863656,-0.0025825184309499795,-0.0025020971896863656,0.010969253732574255
PC 4,-0.8015464180562396,-0.3186074848537642,-0.08649108356415201,-0.40459933305593393,-0.004668288365940498,0.016069912430829263,0.024631990125820135,0.05380471800135551,0.025420125132574172,0.03905595595016033,0.040735309295506276,0.053480668645098775,0.05339645048417275,0.05458947580233716,0.05452708021573739,0.054528758933006904,0.05456524749888083,0.054589047943652366,0.05458395532971136,0.05454131585971941,0.05419516149426456,0.05457516227881602,0.05459063979851405,0.05457218411952528,0.05444020249578682,0.054593995125957,0.054379253031236224,0.05335187335555894,0.06150722335412201,0.054551073450821726,0.05457893558149926,0.054546596661228026,0.05457018070701937,0.05457018070701937,0.0545022872338767,0.05457018070701937,0.049297466145200225
